Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ámbito territorial;Disponibilidad de taxímetro;periodo;Total
Total Nacional;;;Capital de Provincia;Con taxímetro;2012;46.638
Total Nacional;;;Capital de Provincia;Con taxímetro;2011;46.650
Total Nacional;;;Capital de Provincia;Con taxímetro;2010;46.554
Total Nacional;;;Capital de Provincia;Con taxímetro;2009;46.572
Total Nacional;;;Capital de Provincia;Con taxímetro;2008;46.376
Total Nacional;;;Capital de Provincia;Con taxímetro;2007;46.446
Total Nacional;;;Capital de Provincia;Con taxímetro;2006;46.231
Total Nacional;;;Capital de Provincia;Con taxímetro;2005;46.132
Total Nacional;;;Capital de Provincia;Con taxímetro;2004;45.956
Total Nacional;;;Capital de Provincia;Con taxímetro;2003;45.775
Total Nacional;;;Capital de Provincia;Con taxímetro;2002;45.849
Total Nacional;;;Capital de Provincia;Con taxímetro;2001;45.910
Total Nacional;;;Capital de Provincia;Con taxímetro;2000;45.890
Total Nacional;;;Capital de Provincia;Con taxímetro;1999;45.995
Total Nacional;;;Capital de Provincia;Con taxímetro;1998;46.294
Total Nacional;;;Capital de Provincia;Con taxímetro;1997;46.404
Total Nacional;;;Capital de Provincia;Con taxímetro;1996;46.360
Total Nacional;;;Capital de Provincia;Con taxímetro;1995;46.290
Total Nacional;;;Capital de Provincia;Con taxímetro;1994;46.330
Total Nacional;;;Capital de Provincia;Sin taxímetro;2019;0
Total Nacional;;;Capital de Provincia;Sin taxímetro;2018;3
Total Nacional;;;Capital de Provincia;Sin taxímetro;2017;4
Total Nacional;;;Capital de Provincia;Sin taxímetro;2016;1
Total Nacional;;;Capital de Provincia;Sin taxímetro;2015;2
Total Nacional;;;Capital de Provincia;Sin taxímetro;2014;2
Total Nacional;;;Capital de Provincia;Sin taxímetro;2013;2
Total Nacional;;;Capital de Provincia;Sin taxímetro;2012;18
Total Nacional;;;Capital de Provincia;Sin taxímetro;2011;20
Total Nacional;;;Capital de Provincia;Sin taxímetro;2010;20
Total Nacional;;;Capital de Provincia;Sin taxímetro;2009;18
Total Nacional;;;Capital de Provincia;Sin taxímetro;2008;29
Total Nacional;;;Capital de Provincia;Sin taxímetro;2007;21
Total Nacional;;;Capital de Provincia;Sin taxímetro;2006;19
Total Nacional;;;Capital de Provincia;Sin taxímetro;2005;27
Total Nacional;;;Capital de Provincia;Sin taxímetro;2004;93
Total Nacional;;;Capital de Provincia;Sin taxímetro;2003;91
Total Nacional;;;Capital de Provincia;Sin taxímetro;2002;108
Total Nacional;;;Capital de Provincia;Sin taxímetro;2001;110
Total Nacional;;;Capital de Provincia;Sin taxímetro;2000;99
Total Nacional;;;Capital de Provincia;Sin taxímetro;1999;155
Total Nacional;;;Capital de Provincia;Sin taxímetro;1998;150
Total Nacional;;;Capital de Provincia;Sin taxímetro;1997;161
Total Nacional;;;Capital de Provincia;Sin taxímetro;1996;417
Total Nacional;;;Capital de Provincia;Sin taxímetro;1995;468
Total Nacional;;;Capital de Provincia;Sin taxímetro;1994;640
Total Nacional;01 Andalucía;;Provincia;Total;2019;9.642
Total Nacional;01 Andalucía;;Provincia;Total;2018;9.667
Total Nacional;01 Andalucía;;Provincia;Total;2017;9.742
Total Nacional;01 Andalucía;;Provincia;Total;2016;9.799
Total Nacional;01 Andalucía;;Provincia;Total;2015;9.973
Total Nacional;01 Andalucía;;Provincia;Total;2014;10.055
Total Nacional;01 Andalucía;;Provincia;Total;2013;10.174
Total Nacional;01 Andalucía;;Provincia;Total;2012;10.350
Total Nacional;01 Andalucía;;Provincia;Total;2011;10.257
Total Nacional;01 Andalucía;;Provincia;Total;2010;10.328
Total Nacional;01 Andalucía;;Provincia;Total;2009;10.294
Total Nacional;01 Andalucía;;Provincia;Total;2008;10.307
Total Nacional;01 Andalucía;;Provincia;Total;2007;10.340
Total Nacional;01 Andalucía;;Provincia;Total;2006;10.192
Total Nacional;01 Andalucía;;Provincia;Total;2005;10.140
Total Nacional;01 Andalucía;;Provincia;Total;2004;10.075
Total Nacional;01 Andalucía;;Provincia;Total;2003;10.218
Total Nacional;01 Andalucía;;Provincia;Total;2002;10.132
Total Nacional;01 Andalucía;;Provincia;Total;2001;10.066
Total Nacional;01 Andalucía;;Provincia;Total;2000;10.139
Total Nacional;01 Andalucía;;Provincia;Total;1999;10.045
Total Nacional;01 Andalucía;;Provincia;Total;1998;10.075
Total Nacional;01 Andalucía;;Provincia;Total;1997;10.153
Total Nacional;01 Andalucía;;Provincia;Total;1996;10.260
Total Nacional;01 Andalucía;;Provincia;Total;1995;10.334
Total Nacional;01 Andalucía;;Provincia;Total;1994;10.385
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2019;8.090
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2018;8.174
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2017;8.125
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2016;8.003
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2015;8.057
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2014;7.699
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2013;7.167
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2012;7.167
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2011;6.858
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2010;6.795
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2009;6.701
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2008;6.666
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2007;6.620
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2006;6.546
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2005;6.477
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2004;6.539
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2003;6.493
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2002;6.437
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2001;6.398
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2000;6.420
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;1999;6.521
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;1998;6.428
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;1997;6.486
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;1996;6.409
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;1995;6.440
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;1994;6.257
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2019;1.552
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2018;1.493
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2017;1.617
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2016;1.796
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2015;1.916
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2014;2.356
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2013;3.007
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2012;3.183
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2011;3.399
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2010;3.533
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2009;3.593
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2008;3.641
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2007;3.720
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2006;3.646
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2005;3.663
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2004;3.536
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2003;3.725
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2002;3.695
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2001;3.668
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;2000;3.719
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;1999;3.524
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;1998;3.647
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;1997;3.667
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;1996;3.851
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;1995;3.894
Total Nacional;01 Andalucía;;Provincia;Sin taxímetro;1994;4.128
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2019;5.314
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2018;5.352
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2017;5.353
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2016;5.376
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2015;5.495
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2014;5.540
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2013;5.581
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2012;5.619
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2011;5.626
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2010;5.575
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2009;5.553
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2008;5.638
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2007;5.623
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2006;5.563
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2005;5.523
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2004;5.599
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2003;5.575
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2002;5.527
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2001;5.497
Total Nacional;01 Andalucía;;Capital de Provincia;Total;2000;5.502
Total Nacional;01 Andalucía;;Capital de Provincia;Total;1999;5.506
Total Nacional;01 Andalucía;;Capital de Provincia;Total;1998;5.503
Total Nacional;01 Andalucía;;Capital de Provincia;Total;1997;5.510
Total Nacional;01 Andalucía;;Capital de Provincia;Total;1996;5.506
Total Nacional;01 Andalucía;;Capital de Provincia;Total;1995;5.496
Total Nacional;01 Andalucía;;Capital de Provincia;Total;1994;5.492
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2019;5.314
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2018;5.352
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2017;5.353
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2016;5.376
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2015;5.495
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2014;5.540
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2013;5.581
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2012;5.619
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2011;5.626
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2010;5.575
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2009;5.553
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2008;5.638
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2007;5.623
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2006;5.563
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2005;5.523
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2004;5.599
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2003;5.575
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2002;5.527
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2001;5.497
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;2000;5.502
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;1999;5.506
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;1998;5.502
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;1997;5.505
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;1996;5.501
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;1995;5.491
Total Nacional;01 Andalucía;;Capital de Provincia;Con taxímetro;1994;5.477
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2019;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2018;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2017;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2016;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2015;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2014;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2013;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2012;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2011;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2010;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2009;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2008;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2007;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2006;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2005;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2004;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2003;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2002;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2001;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;2000;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;1999;0
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;1998;1
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;1997;5
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;1996;5
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;1995;5
Total Nacional;01 Andalucía;;Capital de Provincia;Sin taxímetro;1994;15
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2019;575
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2018;572
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2017;579
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2016;576
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2015;580
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2014;587
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2013;585
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2012;584
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2011;581
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2010;579
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2009;574
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2008;550
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2007;563
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2006;509
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2005;561
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2004;564
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2003;572
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2002;556
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2001;530
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;2000;548
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;1999;549
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;1998;553
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;1997;567
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;1996;567
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;1995;577
Total Nacional;01 Andalucía;04 Almería;Provincia;Total;1994;571
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2019;412
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2018;408
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2017;411
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2016;406
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2015;397
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2014;394
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2013;375
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2012;365
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2011;366
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2010;363
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2009;348
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2008;295
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2007;295
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2006;286
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2005;290
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2004;290
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2003;287
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2002;284
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2001;287
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;2000;281
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;1999;281
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;1998;281
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;1997;269
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;1996;267
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;1995;262
Total Nacional;01 Andalucía;04 Almería;Provincia;Con taxímetro;1994;262
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2019;163
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2018;164
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2017;168
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2016;170
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2015;183
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2014;193
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2013;210
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2012;219
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2011;215
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2010;216
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2009;226
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2008;255
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2007;268
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2006;223
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2005;271
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2004;274
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2003;285
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2002;272
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2001;243
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;2000;267
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;1999;268
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;1998;272
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;1997;298
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;1996;300
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;1995;315
Total Nacional;01 Andalucía;04 Almería;Provincia;Sin taxímetro;1994;309
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2019;284
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2018;284
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2017;284
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2016;284
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2015;283
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2014;283
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2013;283
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2012;283
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2011;283
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2010;283
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2009;283
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2008;280
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2007;280
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2006;270
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2005;277
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2004;277
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2003;274
Total Nacional;01 Andalucía;04 Almería;Capital de Provincia;Total;2002;271
