Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ámbito territorial;Disponibilidad de taxímetro;periodo;Total
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Con taxímetro;1996;1.087
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Con taxímetro;1995;1.086
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Con taxímetro;1994;1.086
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2019;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2018;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2017;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2016;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2015;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2014;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2013;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2012;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2011;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2010;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2009;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2008;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2007;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2006;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2005;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2004;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2003;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2002;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2001;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;2000;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;1999;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;1998;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;1997;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;1996;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;1995;0
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Capital de Provincia;Sin taxímetro;1994;0
Total Nacional;06 Cantabria;;Provincia;Total;2019;531
Total Nacional;06 Cantabria;;Provincia;Total;2018;522
Total Nacional;06 Cantabria;;Provincia;Total;2017;545
Total Nacional;06 Cantabria;;Provincia;Total;2016;544
Total Nacional;06 Cantabria;;Provincia;Total;2015;541
Total Nacional;06 Cantabria;;Provincia;Total;2014;544
Total Nacional;06 Cantabria;;Provincia;Total;2013;548
Total Nacional;06 Cantabria;;Provincia;Total;2012;546
Total Nacional;06 Cantabria;;Provincia;Total;2011;549
Total Nacional;06 Cantabria;;Provincia;Total;2010;534
Total Nacional;06 Cantabria;;Provincia;Total;2009;538
Total Nacional;06 Cantabria;;Provincia;Total;2008;531
Total Nacional;06 Cantabria;;Provincia;Total;2007;524
Total Nacional;06 Cantabria;;Provincia;Total;2006;520
Total Nacional;06 Cantabria;;Provincia;Total;2005;536
Total Nacional;06 Cantabria;;Provincia;Total;2004;538
Total Nacional;06 Cantabria;;Provincia;Total;2003;537
Total Nacional;06 Cantabria;;Provincia;Total;2002;533
Total Nacional;06 Cantabria;;Provincia;Total;2001;533
Total Nacional;06 Cantabria;;Provincia;Total;2000;542
Total Nacional;06 Cantabria;;Provincia;Total;1999;537
Total Nacional;06 Cantabria;;Provincia;Total;1998;548
Total Nacional;06 Cantabria;;Provincia;Total;1997;552
Total Nacional;06 Cantabria;;Provincia;Total;1996;567
Total Nacional;06 Cantabria;;Provincia;Total;1995;535
Total Nacional;06 Cantabria;;Provincia;Total;1994;557
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2019;478
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2018;457
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2017;444
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2016;436
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2015;377
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2014;375
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2013;373
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2012;354
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2011;365
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2010;347
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2009;350
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2008;335
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2007;331
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2006;328
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2005;321
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2004;321
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2003;314
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2002;312
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2001;297
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;2000;278
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;1999;278
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;1998;270
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;1997;271
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;1996;239
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;1995;217
Total Nacional;06 Cantabria;;Provincia;Con taxímetro;1994;218
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2019;53
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2018;65
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2017;101
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2016;108
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2015;164
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2014;169
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2013;175
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2012;192
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2011;184
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2010;187
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2009;188
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2008;196
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2007;193
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2006;192
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2005;215
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2004;217
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2003;223
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2002;221
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2001;236
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;2000;264
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;1999;259
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;1998;278
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;1997;281
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;1996;328
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;1995;318
Total Nacional;06 Cantabria;;Provincia;Sin taxímetro;1994;339
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2019;230
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2018;230
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2017;230
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2016;230
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2015;230
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2014;230
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2013;230
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2012;230
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2011;228
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2010;218
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2009;218
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2008;218
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2007;218
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2006;218
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2005;218
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2004;218
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2003;218
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2002;218
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2001;218
Total Nacional;06 Cantabria;;Capital de Provincia;Total;2000;218
Total Nacional;06 Cantabria;;Capital de Provincia;Total;1999;218
Total Nacional;06 Cantabria;;Capital de Provincia;Total;1998;218
Total Nacional;06 Cantabria;;Capital de Provincia;Total;1997;218
Total Nacional;06 Cantabria;;Capital de Provincia;Total;1996;217
Total Nacional;06 Cantabria;;Capital de Provincia;Total;1995;244
Total Nacional;06 Cantabria;;Capital de Provincia;Total;1994;244
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2019;230
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2018;230
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2017;230
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2016;230
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2015;230
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2014;230
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2013;230
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2012;230
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2011;228
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2010;218
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2009;218
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2008;218
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2007;218
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2006;218
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2005;218
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2004;218
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2003;218
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2002;218
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2001;218
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;2000;218
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;1999;218
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;1998;218
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;1997;218
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;1996;217
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;1995;217
Total Nacional;06 Cantabria;;Capital de Provincia;Con taxímetro;1994;218
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2019;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2018;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2017;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2016;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2015;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2014;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2013;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2012;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2011;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2010;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2009;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2008;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2007;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2006;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2005;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2004;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2003;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2002;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2001;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;2000;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;1999;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;1998;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;1997;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;1996;0
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;1995;27
Total Nacional;06 Cantabria;;Capital de Provincia;Sin taxímetro;1994;26
Total Nacional;07 Castilla y León;;Provincia;Total;2019;2.433
Total Nacional;07 Castilla y León;;Provincia;Total;2018;2.434
Total Nacional;07 Castilla y León;;Provincia;Total;2017;2.457
Total Nacional;07 Castilla y León;;Provincia;Total;2016;2.432
Total Nacional;07 Castilla y León;;Provincia;Total;2015;2.449
Total Nacional;07 Castilla y León;;Provincia;Total;2014;2.449
Total Nacional;07 Castilla y León;;Provincia;Total;2013;2.452
Total Nacional;07 Castilla y León;;Provincia;Total;2012;2.420
Total Nacional;07 Castilla y León;;Provincia;Total;2011;2.412
Total Nacional;07 Castilla y León;;Provincia;Total;2010;2.390
Total Nacional;07 Castilla y León;;Provincia;Total;2009;2.408
Total Nacional;07 Castilla y León;;Provincia;Total;2008;2.407
Total Nacional;07 Castilla y León;;Provincia;Total;2007;2.316
Total Nacional;07 Castilla y León;;Provincia;Total;2006;2.398
Total Nacional;07 Castilla y León;;Provincia;Total;2005;2.416
Total Nacional;07 Castilla y León;;Provincia;Total;2004;2.412
Total Nacional;07 Castilla y León;;Provincia;Total;2003;2.400
Total Nacional;07 Castilla y León;;Provincia;Total;2002;2.460
Total Nacional;07 Castilla y León;;Provincia;Total;2001;2.469
Total Nacional;07 Castilla y León;;Provincia;Total;2000;2.498
Total Nacional;07 Castilla y León;;Provincia;Total;1999;2.512
Total Nacional;07 Castilla y León;;Provincia;Total;1998;2.555
Total Nacional;07 Castilla y León;;Provincia;Total;1997;2.572
Total Nacional;07 Castilla y León;;Provincia;Total;1996;2.688
Total Nacional;07 Castilla y León;;Provincia;Total;1995;2.745
Total Nacional;07 Castilla y León;;Provincia;Total;1994;2.802
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2019;1.463
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2018;1.446
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2017;1.428
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2016;1.412
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2015;1.437
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2014;1.441
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2013;1.452
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2012;1.475
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2011;1.452
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2010;1.455
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2009;1.451
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2008;1.441
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2007;1.411
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2006;1.405
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2005;1.400
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2004;1.395
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2003;1.411
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2002;1.417
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2001;1.424
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;2000;1.416
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;1999;1.414
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;1998;1.413
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;1997;1.407
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;1996;1.432
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;1995;1.422
Total Nacional;07 Castilla y León;;Provincia;Con taxímetro;1994;1.401
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2019;970
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2018;988
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2017;1.029
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2016;1.020
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2015;1.012
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2014;1.008
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2013;1.000
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2012;945
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2011;960
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2010;935
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2009;957
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2008;966
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2007;905
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2006;993
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2005;1.016
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2004;1.017
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2003;989
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2002;1.043
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2001;1.045
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;2000;1.082
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;1999;1.098
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;1998;1.142
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;1997;1.165
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;1996;1.256
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;1995;1.323
Total Nacional;07 Castilla y León;;Provincia;Sin taxímetro;1994;1.401
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2019;1.297
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2018;1.297
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2017;1.286
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2016;1.287
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2015;1.288
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2014;1.288
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2013;1.288
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2012;1.288
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2011;1.288
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2010;1.285
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2009;1.288
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2008;1.285
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2007;1.263
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2006;1.256
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2005;1.263
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2004;1.263
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2003;1.281
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2002;1.284
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2001;1.289
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;2000;1.289
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;1999;1.290
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;1998;1.293
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;1997;1.292
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;1996;1.290
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;1995;1.291
Total Nacional;07 Castilla y León;;Capital de Provincia;Total;1994;1.291
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2019;1.297
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2018;1.295
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2017;1.286
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2016;1.287
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2015;1.288
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2014;1.288
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2013;1.288
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2012;1.288
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2011;1.288
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2010;1.285
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2009;1.288
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2008;1.285
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2007;1.263
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2006;1.256
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2005;1.263
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2004;1.263
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2003;1.281
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2002;1.284
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2001;1.289
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;2000;1.289
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;1999;1.290
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;1998;1.293
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;1997;1.292
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;1996;1.290
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;1995;1.291
Total Nacional;07 Castilla y León;;Capital de Provincia;Con taxímetro;1994;1.290
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2019;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2018;2
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2017;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2016;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2015;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2014;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2013;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2012;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2011;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2010;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2009;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2008;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2007;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2006;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2005;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2004;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2003;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2002;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2001;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;2000;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;1999;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;1998;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;1997;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;1996;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;1995;0
Total Nacional;07 Castilla y León;;Capital de Provincia;Sin taxímetro;1994;1
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2019;129
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2018;130
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2017;128
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2016;127
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2015;132
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2014;138
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2013;137
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2012;140
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2011;140
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2010;140
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2009;143
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2008;137
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2007;131
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2006;138
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2005;131
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2004;127
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2003;122
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2002;127
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2001;136
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;2000;141
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;1999;142
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;1998;145
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;1997;138
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;1996;163
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;1995;164
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Total;1994;178
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Con taxímetro;2019;58
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Con taxímetro;2018;54
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Con taxímetro;2017;56
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Con taxímetro;2016;50
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Con taxímetro;2015;48
Total Nacional;07 Castilla y León;05 Ávila;Provincia;Con taxímetro;2014;49
