Medida;Tipo de dato;Periodo;Total
Viajeros;Variación de la media en lo que va de año;2022T1;47,3
Viajeros;Variación de la media en lo que va de año;2021T4;22,7
Viajeros;Variación de la media en lo que va de año;2021T3;15,7
Viajeros;Variación de la media en lo que va de año;2021T2;9,5
Viajeros;Variación de la media en lo que va de año;2021T1;-37,7
Viajeros;Variación de la media en lo que va de año;2020T4;-47,5
Viajeros;Variación de la media en lo que va de año;2020T3;-47,1
Viajeros;Variación de la media en lo que va de año;2020T2;-48,2
Viajeros;Variación de la media en lo que va de año;2020T1;-18,6
Viajeros;Variación de la media en lo que va de año;2019T4;1,3
Viajeros;Variación de la media en lo que va de año;2019T3;1,6
Viajeros;Variación de la media en lo que va de año;2019T2;2,7
Viajeros;Variación de la media en lo que va de año;2019T1;7,5
Viajeros;Variación de la media en lo que va de año;2018T4;4,3
Viajeros;Variación de la media en lo que va de año;2018T3;4,4
Viajeros;Variación de la media en lo que va de año;2018T2;4,5
Viajeros;Variación de la media en lo que va de año;2018T1;1,1
Viajeros;Variación de la media en lo que va de año;2017T4;4,1
Viajeros;Variación de la media en lo que va de año;2017T3;3,6
Viajeros;Variación de la media en lo que va de año;2017T2;3,7
Viajeros;Variación de la media en lo que va de año;2017T1;6,2
Viajeros;Variación de la media en lo que va de año;2016T4;1,4
Viajeros;Variación de la media en lo que va de año;2016T3;1,7
Viajeros;Variación de la media en lo que va de año;2016T2;1,8
Viajeros;Variación de la media en lo que va de año;2016T1;-0,1
Viajeros;Variación de la media en lo que va de año;2015T4;0,5
Viajeros;Variación de la media en lo que va de año;2015T3;0,8
Viajeros;Variación de la media en lo que va de año;2015T2;-0,4
Viajeros;Variación de la media en lo que va de año;2015T1;-0,8
Viajeros;Variación de la media en lo que va de año;2014T4;0,1
Viajeros;Variación de la media en lo que va de año;2014T3;-0,1
Viajeros;Variación de la media en lo que va de año;2014T2;-0,7
Viajeros;Variación de la media en lo que va de año;2014T1;-1,6
Viajeros;Variación de la media en lo que va de año;2013T4;0,6
Viajeros;Variación de la media en lo que va de año;2013T3;-0,1
Viajeros;Variación de la media en lo que va de año;2013T2;-0,3
Viajeros;Variación de la media en lo que va de año;2013T1;-1,5
Viajeros;Variación de la media en lo que va de año;2012T4;-1,9
Viajeros;Variación de la media en lo que va de año;2012T3;-1,6
Viajeros;Variación de la media en lo que va de año;2012T2;-0,9
Viajeros;Variación de la media en lo que va de año;2012T1;1
Viajeros;Variación de la media en lo que va de año;2011T4;2,4
Viajeros;Variación de la media en lo que va de año;2011T3;2,2
Viajeros;Variación de la media en lo que va de año;2011T2;2,4
Viajeros;Variación de la media en lo que va de año;2011T1;3,4
Viajeros;Variación de la media en lo que va de año;2010T4;""
Viajeros;Variación de la media en lo que va de año;2010T3;""
Viajeros;Variación de la media en lo que va de año;2010T2;""
Viajeros;Variación de la media en lo que va de año;2010T1;""
Viajeros-km (1000);Dato base;2024T2;9.788.242
Viajeros-km (1000);Dato base;2024T1;8.660.609
Viajeros-km (1000);Dato base;2023T4;8.171.652
Viajeros-km (1000);Dato base;2023T3;9.224.254
Viajeros-km (1000);Dato base;2023T2;8.723.724
Viajeros-km (1000);Dato base;2023T1;7.528.940
Viajeros-km (1000);Dato base;2022T4;7.121.258
Viajeros-km (1000);Dato base;2022T3;6.731.605
Viajeros-km (1000);Dato base;2022T2;6.581.880
