Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y tasas;Periodo;Total
Total Nacional;;Viajeros transportados;2014M08;94.539
Total Nacional;;Viajeros transportados;2014M07;129.633
Total Nacional;;Viajeros transportados;2014M06;135.998
Total Nacional;;Viajeros transportados;2014M05;146.925
Total Nacional;;Viajeros transportados;2014M04;137.001
Total Nacional;;Viajeros transportados;2014M03;145.497
Total Nacional;;Viajeros transportados;2014M02;134.017
Total Nacional;;Viajeros transportados;2014M01;137.071
Total Nacional;;Viajeros transportados;2013M12;132.658
Total Nacional;;Viajeros transportados;2013M11;141.143
Total Nacional;;Viajeros transportados;2013M10;157.271
Total Nacional;;Viajeros transportados;2013M09;131.258
Total Nacional;;Viajeros transportados;2013M08;95.827
Total Nacional;;Viajeros transportados;2013M07;129.604
Total Nacional;;Viajeros transportados;2013M06;136.858
Total Nacional;;Viajeros transportados;2013M05;148.404
Total Nacional;;Viajeros transportados;2013M04;146.869
Total Nacional;;Viajeros transportados;2013M03;134.542
Total Nacional;;Viajeros transportados;2013M02;131.939
Total Nacional;;Viajeros transportados;2013M01;139.275
Total Nacional;;Viajeros transportados;2012M12;129.673
Total Nacional;;Viajeros transportados;2012M11;137.496
Total Nacional;;Viajeros transportados;2012M10;151.073
Total Nacional;;Viajeros transportados;2012M09;128.860
Total Nacional;;Viajeros transportados;2012M08;99.095
Total Nacional;;Viajeros transportados;2012M07;127.452
Total Nacional;;Viajeros transportados;2012M06;143.243
Total Nacional;;Viajeros transportados;2012M05;152.780
Total Nacional;;Viajeros transportados;2012M04;135.330
Total Nacional;;Viajeros transportados;2012M03;153.748
Total Nacional;;Viajeros transportados;2012M02;143.221
Total Nacional;;Viajeros transportados;2012M01;145.472
Total Nacional;;Variación anual;2024M09;4,6
Total Nacional;;Variación anual;2024M08;4,6
Total Nacional;;Variación anual;2024M07;6,8
Total Nacional;;Variación anual;2024M06;4,3
Total Nacional;;Variación anual;2024M05;9,4
Total Nacional;;Variación anual;2024M04;22,6
Total Nacional;;Variación anual;2024M03;-0,3
Total Nacional;;Variación anual;2024M02;20,3
Total Nacional;;Variación anual;2024M01;18,4
Total Nacional;;Variación anual;2023M12;18,2
Total Nacional;;Variación anual;2023M11;19
Total Nacional;;Variación anual;2023M10;21,7
Total Nacional;;Variación anual;2023M09;21,2
Total Nacional;;Variación anual;2023M08;26,7
Total Nacional;;Variación anual;2023M07;28,3
Total Nacional;;Variación anual;2023M06;23
Total Nacional;;Variación anual;2023M05;20,6
Total Nacional;;Variación anual;2023M04;19,4
Total Nacional;;Variación anual;2023M03;21,5
Total Nacional;;Variación anual;2023M02;21,9
Total Nacional;;Variación anual;2023M01;31,3
Total Nacional;;Variación anual;2022M12;17,3
Total Nacional;;Variación anual;2022M11;15,2
Total Nacional;;Variación anual;2022M10;18,1
Total Nacional;;Variación anual;2022M09;18,8
Total Nacional;;Variación anual;2022M08;20,9
Total Nacional;;Variación anual;2022M07;14,7
Total Nacional;;Variación anual;2022M06;19
Total Nacional;;Variación anual;2022M05;29,3
Total Nacional;;Variación anual;2022M04;26,7
Total Nacional;;Variación anual;2022M03;34,7
Total Nacional;;Variación anual;2022M02;37,9
Total Nacional;;Variación anual;2022M01;43,7
Total Nacional;;Variación anual;2021M12;24,8
Total Nacional;;Variación anual;2021M11;40,9
Total Nacional;;Variación anual;2021M10;28,5
Total Nacional;;Variación anual;2021M09;30,1
Total Nacional;;Variación anual;2021M08;20,5
Total Nacional;;Variación anual;2021M07;22
Total Nacional;;Variación anual;2021M06;71,6
Total Nacional;;Variación anual;2021M05;280,8
Total Nacional;;Variación anual;2021M04;663,1
Total Nacional;;Variación anual;2021M03;37,1
Total Nacional;;Variación anual;2021M02;-47
Total Nacional;;Variación anual;2021M01;-52,7
Total Nacional;;Variación anual;2020M12;-38,2
Total Nacional;;Variación anual;2020M11;-43,3
Total Nacional;;Variación anual;2020M10;-44,2
Total Nacional;;Variación anual;2020M09;-41,5
Total Nacional;;Variación anual;2020M08;-40,5
Total Nacional;;Variación anual;2020M07;-43,7
Total Nacional;;Variación anual;2020M06;-58,2
Total Nacional;;Variación anual;2020M05;-83,3
Total Nacional;;Variación anual;2020M04;-91,5
Total Nacional;;Variación anual;2020M03;-54,1
Total Nacional;;Variación anual;2020M02;5,8
Total Nacional;;Variación anual;2020M01;1,9
Total Nacional;;Variación anual;2019M12;1,1
Total Nacional;;Variación anual;2019M11;1,1
Total Nacional;;Variación anual;2019M10;5,2
Total Nacional;;Variación anual;2019M09;4,7
Total Nacional;;Variación anual;2019M08;2
Total Nacional;;Variación anual;2019M07;5,5
Total Nacional;;Variación anual;2019M06;0,6
Total Nacional;;Variación anual;2019M05;4,2
Total Nacional;;Variación anual;2019M04;-1,5
Total Nacional;;Variación anual;2019M03;8,4
Total Nacional;;Variación anual;2019M02;5,7
Total Nacional;;Variación anual;2019M01;2,5
Total Nacional;;Variación anual;2018M12;5
Total Nacional;;Variación anual;2018M11;1,2
Total Nacional;;Variación anual;2018M10;4,6
Total Nacional;;Variación anual;2018M09;0,6
Total Nacional;;Variación anual;2018M08;0,4
Total Nacional;;Variación anual;2018M07;1,2
Total Nacional;;Variación anual;2018M06;0,8
Total Nacional;;Variación anual;2018M05;-0,3
Total Nacional;;Variación anual;2018M04;10,2
Total Nacional;;Variación anual;2018M03;-8,6
Total Nacional;;Variación anual;2018M02;-0,8
Total Nacional;;Variación anual;2018M01;5,1
Total Nacional;;Variación anual;2017M12;-1,8
Total Nacional;;Variación anual;2017M11;2,8
Total Nacional;;Variación anual;2017M10;2
Total Nacional;;Variación anual;2017M09;-2,8
Total Nacional;;Variación anual;2017M08;1,7
Total Nacional;;Variación anual;2017M07;2,8
Total Nacional;;Variación anual;2017M06;1,3
Total Nacional;;Variación anual;2017M05;4,9
Total Nacional;;Variación anual;2017M04;-7,9
Total Nacional;;Variación anual;2017M03;14,8
Total Nacional;;Variación anual;2017M02;2,6
Total Nacional;;Variación anual;2017M01;5,2
Total Nacional;;Variación anual;2016M12;0,6
Total Nacional;;Variación anual;2016M11;2,6
Total Nacional;;Variación anual;2016M10;2
Total Nacional;;Variación anual;2016M09;7,8
Total Nacional;;Variación anual;2016M08;8,8
Total Nacional;;Variación anual;2016M07;1,4
Total Nacional;;Variación anual;2016M06;5,7
Total Nacional;;Variación anual;2016M05;3,9
Total Nacional;;Variación anual;2016M04;7,5
Total Nacional;;Variación anual;2016M03;-2,4
Total Nacional;;Variación anual;2016M02;5,2
Total Nacional;;Variación anual;2016M01;0,4
Total Nacional;;Variación anual;2015M12;2,3
Total Nacional;;Variación anual;2015M11;5,7
Total Nacional;;Variación anual;2015M10;-2,8
Total Nacional;;Variación anual;2015M09;2,2
Total Nacional;;Variación anual;2015M08;6
Total Nacional;;Variación anual;2015M07;1,1
Total Nacional;;Variación anual;2015M06;3,9
Total Nacional;;Variación anual;2015M05;0,3
Total Nacional;;Variación anual;2015M04;1,7
Total Nacional;;Variación anual;2015M03;0,1
Total Nacional;;Variación anual;2015M02;-1,3
Total Nacional;;Variación anual;2015M01;-2,6
Total Nacional;;Variación anual;2014M12;3,3
