Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y tasas;Periodo;Total
Total Nacional;04 Balears, Illes;Variación anual;2022M10;.
Total Nacional;04 Balears, Illes;Variación anual;2022M09;.
Total Nacional;04 Balears, Illes;Variación anual;2022M08;.
Total Nacional;04 Balears, Illes;Variación anual;2022M07;.
Total Nacional;04 Balears, Illes;Variación anual;2022M06;.
Total Nacional;04 Balears, Illes;Variación anual;2022M05;.
Total Nacional;04 Balears, Illes;Variación anual;2022M04;.
Total Nacional;04 Balears, Illes;Variación anual;2022M03;.
Total Nacional;04 Balears, Illes;Variación anual;2022M02;.
Total Nacional;04 Balears, Illes;Variación anual;2022M01;.
Total Nacional;04 Balears, Illes;Variación anual;2021M12;.
Total Nacional;04 Balears, Illes;Variación anual;2021M11;.
Total Nacional;04 Balears, Illes;Variación anual;2021M10;.
Total Nacional;04 Balears, Illes;Variación anual;2021M09;.
Total Nacional;04 Balears, Illes;Variación anual;2021M08;.
Total Nacional;04 Balears, Illes;Variación anual;2021M07;.
Total Nacional;04 Balears, Illes;Variación anual;2021M06;.
Total Nacional;04 Balears, Illes;Variación anual;2021M05;.
Total Nacional;04 Balears, Illes;Variación anual;2021M04;.
Total Nacional;04 Balears, Illes;Variación anual;2021M03;.
Total Nacional;04 Balears, Illes;Variación anual;2021M02;.
Total Nacional;04 Balears, Illes;Variación anual;2021M01;.
Total Nacional;04 Balears, Illes;Variación anual;2020M12;.
Total Nacional;04 Balears, Illes;Variación anual;2020M11;.
Total Nacional;04 Balears, Illes;Variación anual;2020M10;.
Total Nacional;04 Balears, Illes;Variación anual;2020M09;.
Total Nacional;04 Balears, Illes;Variación anual;2020M08;.
Total Nacional;04 Balears, Illes;Variación anual;2020M07;.
Total Nacional;04 Balears, Illes;Variación anual;2020M06;.
Total Nacional;04 Balears, Illes;Variación anual;2020M05;.
Total Nacional;04 Balears, Illes;Variación anual;2020M04;.
Total Nacional;04 Balears, Illes;Variación anual;2020M03;.
Total Nacional;04 Balears, Illes;Variación anual;2020M02;.
Total Nacional;04 Balears, Illes;Variación anual;2020M01;.
Total Nacional;04 Balears, Illes;Variación anual;2019M12;.
Total Nacional;04 Balears, Illes;Variación anual;2019M11;.
Total Nacional;04 Balears, Illes;Variación anual;2019M10;.
Total Nacional;04 Balears, Illes;Variación anual;2019M09;.
Total Nacional;04 Balears, Illes;Variación anual;2019M08;.
Total Nacional;04 Balears, Illes;Variación anual;2019M07;.
Total Nacional;04 Balears, Illes;Variación anual;2019M06;.
Total Nacional;04 Balears, Illes;Variación anual;2019M05;.
Total Nacional;04 Balears, Illes;Variación anual;2019M04;.
Total Nacional;04 Balears, Illes;Variación anual;2019M03;.
Total Nacional;04 Balears, Illes;Variación anual;2019M02;.
Total Nacional;04 Balears, Illes;Variación anual;2019M01;.
Total Nacional;04 Balears, Illes;Variación anual;2018M12;.
Total Nacional;04 Balears, Illes;Variación anual;2018M11;.
Total Nacional;04 Balears, Illes;Variación anual;2018M10;.
Total Nacional;04 Balears, Illes;Variación anual;2018M09;.
Total Nacional;04 Balears, Illes;Variación anual;2018M08;.
Total Nacional;04 Balears, Illes;Variación anual;2018M07;.
Total Nacional;04 Balears, Illes;Variación anual;2018M06;.
Total Nacional;04 Balears, Illes;Variación anual;2018M05;.
Total Nacional;04 Balears, Illes;Variación anual;2018M04;.
Total Nacional;04 Balears, Illes;Variación anual;2018M03;.
Total Nacional;04 Balears, Illes;Variación anual;2018M02;.
Total Nacional;04 Balears, Illes;Variación anual;2018M01;.
Total Nacional;04 Balears, Illes;Variación anual;2017M12;.
Total Nacional;04 Balears, Illes;Variación anual;2017M11;.
Total Nacional;04 Balears, Illes;Variación anual;2017M10;.
Total Nacional;04 Balears, Illes;Variación anual;2017M09;.
Total Nacional;04 Balears, Illes;Variación anual;2017M08;.
Total Nacional;04 Balears, Illes;Variación anual;2017M07;.
Total Nacional;04 Balears, Illes;Variación anual;2017M06;.
Total Nacional;04 Balears, Illes;Variación anual;2017M05;.
Total Nacional;04 Balears, Illes;Variación anual;2017M04;.
Total Nacional;04 Balears, Illes;Variación anual;2017M03;.
Total Nacional;04 Balears, Illes;Variación anual;2017M02;.
Total Nacional;04 Balears, Illes;Variación anual;2017M01;.
Total Nacional;04 Balears, Illes;Variación anual;2016M12;.
Total Nacional;04 Balears, Illes;Variación anual;2016M11;.
Total Nacional;04 Balears, Illes;Variación anual;2016M10;.
Total Nacional;04 Balears, Illes;Variación anual;2016M09;.
Total Nacional;04 Balears, Illes;Variación anual;2016M08;.
Total Nacional;04 Balears, Illes;Variación anual;2016M07;.
Total Nacional;04 Balears, Illes;Variación anual;2016M06;.
Total Nacional;04 Balears, Illes;Variación anual;2016M05;.
Total Nacional;04 Balears, Illes;Variación anual;2016M04;.
Total Nacional;04 Balears, Illes;Variación anual;2016M03;.
Total Nacional;04 Balears, Illes;Variación anual;2016M02;.
Total Nacional;04 Balears, Illes;Variación anual;2016M01;.
Total Nacional;04 Balears, Illes;Variación anual;2015M12;.
Total Nacional;04 Balears, Illes;Variación anual;2015M11;.
Total Nacional;04 Balears, Illes;Variación anual;2015M10;.
Total Nacional;04 Balears, Illes;Variación anual;2015M09;.
Total Nacional;04 Balears, Illes;Variación anual;2015M08;.
Total Nacional;04 Balears, Illes;Variación anual;2015M07;.
Total Nacional;04 Balears, Illes;Variación anual;2015M06;.
Total Nacional;04 Balears, Illes;Variación anual;2015M05;.
Total Nacional;04 Balears, Illes;Variación anual;2015M04;.
Total Nacional;04 Balears, Illes;Variación anual;2015M03;.
Total Nacional;04 Balears, Illes;Variación anual;2015M02;.
Total Nacional;04 Balears, Illes;Variación anual;2015M01;.
Total Nacional;04 Balears, Illes;Variación anual;2014M12;.
Total Nacional;04 Balears, Illes;Variación anual;2014M11;.
Total Nacional;04 Balears, Illes;Variación anual;2014M10;.
Total Nacional;04 Balears, Illes;Variación anual;2014M09;.
Total Nacional;04 Balears, Illes;Variación anual;2014M08;.
Total Nacional;04 Balears, Illes;Variación anual;2014M07;.
Total Nacional;04 Balears, Illes;Variación anual;2014M06;.
Total Nacional;04 Balears, Illes;Variación anual;2014M05;.
Total Nacional;04 Balears, Illes;Variación anual;2014M04;.
Total Nacional;04 Balears, Illes;Variación anual;2014M03;.
Total Nacional;04 Balears, Illes;Variación anual;2014M02;.
Total Nacional;04 Balears, Illes;Variación anual;2014M01;.
Total Nacional;04 Balears, Illes;Variación anual;2013M12;.
Total Nacional;04 Balears, Illes;Variación anual;2013M11;.
Total Nacional;04 Balears, Illes;Variación anual;2013M10;.
Total Nacional;04 Balears, Illes;Variación anual;2013M09;.
Total Nacional;04 Balears, Illes;Variación anual;2013M08;.
Total Nacional;04 Balears, Illes;Variación anual;2013M07;.
Total Nacional;04 Balears, Illes;Variación anual;2013M06;.
Total Nacional;04 Balears, Illes;Variación anual;2013M05;.
Total Nacional;04 Balears, Illes;Variación anual;2013M04;.
Total Nacional;04 Balears, Illes;Variación anual;2013M03;.
Total Nacional;04 Balears, Illes;Variación anual;2013M02;.
Total Nacional;04 Balears, Illes;Variación anual;2013M01;.
Total Nacional;04 Balears, Illes;Variación anual;2012M12;.
Total Nacional;04 Balears, Illes;Variación anual;2012M11;.
Total Nacional;04 Balears, Illes;Variación anual;2012M10;.
Total Nacional;04 Balears, Illes;Variación anual;2012M09;.
Total Nacional;04 Balears, Illes;Variación anual;2012M08;.
Total Nacional;04 Balears, Illes;Variación anual;2012M07;.
Total Nacional;04 Balears, Illes;Variación anual;2012M06;.
Total Nacional;04 Balears, Illes;Variación anual;2012M05;.
Total Nacional;04 Balears, Illes;Variación anual;2012M04;.
Total Nacional;04 Balears, Illes;Variación anual;2012M03;.
Total Nacional;04 Balears, Illes;Variación anual;2012M02;.
Total Nacional;04 Balears, Illes;Variación anual;2012M01;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2024M09;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2024M08;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2024M07;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2024M06;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2024M05;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2024M04;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2024M03;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2024M02;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2024M01;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2023M12;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2023M11;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2023M10;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2023M09;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2023M08;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2023M07;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2023M06;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2023M05;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2023M04;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2023M03;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2023M02;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2023M01;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2022M12;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2022M11;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2022M10;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2022M09;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2022M08;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2022M07;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2022M06;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2022M05;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2022M04;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2022M03;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2022M02;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2022M01;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2021M12;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2021M11;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2021M10;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2021M09;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2021M08;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2021M07;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2021M06;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2021M05;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2021M04;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2021M03;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2021M02;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2021M01;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2020M12;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2020M11;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2020M10;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2020M09;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2020M08;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2020M07;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2020M06;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2020M05;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2020M04;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2020M03;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2020M02;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2020M01;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2019M12;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2019M11;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2019M10;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2019M09;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2019M08;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2019M07;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2019M06;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2019M05;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2019M04;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2019M03;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2019M02;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2019M01;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2018M12;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2018M11;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2018M10;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2018M09;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2018M08;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2018M07;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2018M06;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2018M05;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2018M04;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2018M03;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2018M02;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2018M01;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2017M12;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2017M11;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2017M10;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2017M09;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2017M08;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2017M07;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2017M06;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2017M05;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2017M04;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2017M03;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2017M02;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2017M01;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2016M12;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2016M11;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2016M10;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2016M09;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2016M08;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2016M07;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2016M06;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2016M05;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2016M04;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2016M03;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2016M02;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2016M01;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2015M12;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2015M11;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2015M10;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2015M09;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2015M08;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2015M07;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2015M06;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2015M05;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2015M04;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2015M03;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2015M02;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2015M01;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2014M12;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2014M11;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2014M10;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2014M09;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2014M08;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2014M07;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2014M06;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2014M05;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2014M04;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2014M03;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2014M02;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2014M01;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2013M12;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2013M11;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2013M10;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2013M09;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2013M08;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2013M07;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2013M06;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2013M05;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2013M04;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2013M03;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2013M02;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2013M01;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2012M12;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2012M11;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2012M10;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2012M09;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2012M08;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2012M07;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2012M06;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2012M05;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2012M04;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2012M03;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2012M02;.
Total Nacional;04 Balears, Illes;Variación de la media en lo que va de año;2012M01;.
Total Nacional;05 Canarias;Viajeros transportados;2024M09;8.302
Total Nacional;05 Canarias;Viajeros transportados;2024M08;7.345
Total Nacional;05 Canarias;Viajeros transportados;2024M07;8.021
Total Nacional;05 Canarias;Viajeros transportados;2024M06;7.838
Total Nacional;05 Canarias;Viajeros transportados;2024M05;8.606
Total Nacional;05 Canarias;Viajeros transportados;2024M04;8.798
Total Nacional;05 Canarias;Viajeros transportados;2024M03;7.986
Total Nacional;05 Canarias;Viajeros transportados;2024M02;8.294
Total Nacional;05 Canarias;Viajeros transportados;2024M01;8.058
Total Nacional;05 Canarias;Viajeros transportados;2023M12;7.562
Total Nacional;05 Canarias;Viajeros transportados;2023M11;8.256
Total Nacional;05 Canarias;Viajeros transportados;2023M10;8.306
Total Nacional;05 Canarias;Viajeros transportados;2023M09;7.724
Total Nacional;05 Canarias;Viajeros transportados;2023M08;6.662
Total Nacional;05 Canarias;Viajeros transportados;2023M07;7.052
Total Nacional;05 Canarias;Viajeros transportados;2023M06;7.324
Total Nacional;05 Canarias;Viajeros transportados;2023M05;7.358
Total Nacional;05 Canarias;Viajeros transportados;2023M04;6.696
Total Nacional;05 Canarias;Viajeros transportados;2023M03;7.600
Total Nacional;05 Canarias;Viajeros transportados;2023M02;6.283
Total Nacional;05 Canarias;Viajeros transportados;2023M01;6.338
Total Nacional;05 Canarias;Viajeros transportados;2022M12;5.564
Total Nacional;05 Canarias;Viajeros transportados;2022M11;6.136
Total Nacional;05 Canarias;Viajeros transportados;2022M10;5.956
Total Nacional;05 Canarias;Viajeros transportados;2022M09;5.200
Total Nacional;05 Canarias;Viajeros transportados;2022M08;4.382
Total Nacional;05 Canarias;Viajeros transportados;2022M07;4.675
Total Nacional;05 Canarias;Viajeros transportados;2022M06;5.020
Total Nacional;05 Canarias;Viajeros transportados;2022M05;5.162
Total Nacional;05 Canarias;Viajeros transportados;2022M04;4.764
Total Nacional;05 Canarias;Viajeros transportados;2022M03;5.126
Total Nacional;05 Canarias;Viajeros transportados;2022M02;4.495
Total Nacional;05 Canarias;Viajeros transportados;2022M01;4.224
Total Nacional;05 Canarias;Viajeros transportados;2021M12;4.520
Total Nacional;05 Canarias;Viajeros transportados;2021M11;5.070
Total Nacional;05 Canarias;Viajeros transportados;2021M10;5.034
Total Nacional;05 Canarias;Viajeros transportados;2021M09;4.646
Total Nacional;05 Canarias;Viajeros transportados;2021M08;3.817
Total Nacional;05 Canarias;Viajeros transportados;2021M07;4.191
Total Nacional;05 Canarias;Viajeros transportados;2021M06;4.385
Total Nacional;05 Canarias;Viajeros transportados;2021M05;4.358
Total Nacional;05 Canarias;Viajeros transportados;2021M04;4.101
Total Nacional;05 Canarias;Viajeros transportados;2021M03;4.467
Total Nacional;05 Canarias;Viajeros transportados;2021M02;3.661
Total Nacional;05 Canarias;Viajeros transportados;2021M01;3.638
Total Nacional;05 Canarias;Viajeros transportados;2020M12;3.962
Total Nacional;05 Canarias;Viajeros transportados;2020M11;4.338
Total Nacional;05 Canarias;Viajeros transportados;2020M10;4.316
Total Nacional;05 Canarias;Viajeros transportados;2020M09;3.702
Total Nacional;05 Canarias;Viajeros transportados;2020M08;3.529
Total Nacional;05 Canarias;Viajeros transportados;2020M07;3.764
Total Nacional;05 Canarias;Viajeros transportados;2020M06;3.018
Total Nacional;05 Canarias;Viajeros transportados;2020M05;1.337
Total Nacional;05 Canarias;Viajeros transportados;2020M04;675
Total Nacional;05 Canarias;Viajeros transportados;2020M03;2.978
Total Nacional;05 Canarias;Viajeros transportados;2020M02;5.622
Total Nacional;05 Canarias;Viajeros transportados;2020M01;5.817
Total Nacional;05 Canarias;Viajeros transportados;2019M12;5.615
Total Nacional;05 Canarias;Viajeros transportados;2019M11;5.873
Total Nacional;05 Canarias;Viajeros transportados;2019M10;6.287
Total Nacional;05 Canarias;Viajeros transportados;2019M09;5.459
Total Nacional;05 Canarias;Viajeros transportados;2019M08;4.777
Total Nacional;05 Canarias;Viajeros transportados;2019M07;5.384
Total Nacional;05 Canarias;Viajeros transportados;2019M06;5.260
Total Nacional;05 Canarias;Viajeros transportados;2019M05;5.588
Total Nacional;05 Canarias;Viajeros transportados;2019M04;5.287
Total Nacional;05 Canarias;Viajeros transportados;2019M03;5.487
Total Nacional;05 Canarias;Viajeros transportados;2019M02;5.335
Total Nacional;05 Canarias;Viajeros transportados;2019M01;5.402
Total Nacional;05 Canarias;Viajeros transportados;2018M12;5.311
Total Nacional;05 Canarias;Viajeros transportados;2018M11;5.514
Total Nacional;05 Canarias;Viajeros transportados;2018M10;5.735
Total Nacional;05 Canarias;Viajeros transportados;2018M09;5.016
Total Nacional;05 Canarias;Viajeros transportados;2018M08;4.463
Total Nacional;05 Canarias;Viajeros transportados;2018M07;4.855
Total Nacional;05 Canarias;Viajeros transportados;2018M06;4.899
Total Nacional;05 Canarias;Viajeros transportados;2018M05;5.213
Total Nacional;05 Canarias;Viajeros transportados;2018M04;5.265
Total Nacional;05 Canarias;Viajeros transportados;2018M03;5.178
Total Nacional;05 Canarias;Viajeros transportados;2018M02;4.564
Total Nacional;05 Canarias;Viajeros transportados;2018M01;4.979
Total Nacional;05 Canarias;Viajeros transportados;2017M12;4.766
Total Nacional;05 Canarias;Viajeros transportados;2017M11;5.259
Total Nacional;05 Canarias;Viajeros transportados;2017M10;5.254
Total Nacional;05 Canarias;Viajeros transportados;2017M09;4.820
Total Nacional;05 Canarias;Viajeros transportados;2017M08;4.246
Total Nacional;05 Canarias;Viajeros transportados;2017M07;4.596
Total Nacional;05 Canarias;Viajeros transportados;2017M06;4.907
Total Nacional;05 Canarias;Viajeros transportados;2017M05;5.053
Total Nacional;05 Canarias;Viajeros transportados;2017M04;4.713
Total Nacional;05 Canarias;Viajeros transportados;2017M03;5.342
Total Nacional;05 Canarias;Viajeros transportados;2017M02;4.772
Total Nacional;05 Canarias;Viajeros transportados;2017M01;4.937
Total Nacional;05 Canarias;Viajeros transportados;2016M12;4.810
Total Nacional;05 Canarias;Viajeros transportados;2016M11;5.098
Total Nacional;05 Canarias;Viajeros transportados;2016M10;5.073
Total Nacional;05 Canarias;Viajeros transportados;2016M09;4.829
Total Nacional;05 Canarias;Viajeros transportados;2016M08;4.119
Total Nacional;05 Canarias;Viajeros transportados;2016M07;4.486
Total Nacional;05 Canarias;Viajeros transportados;2016M06;4.750
Total Nacional;05 Canarias;Viajeros transportados;2016M05;4.797
Total Nacional;05 Canarias;Viajeros transportados;2016M04;4.947
Total Nacional;05 Canarias;Viajeros transportados;2016M03;4.807
Total Nacional;05 Canarias;Viajeros transportados;2016M02;4.662
Total Nacional;05 Canarias;Viajeros transportados;2016M01;4.726
Total Nacional;05 Canarias;Viajeros transportados;2015M12;4.842
Total Nacional;05 Canarias;Viajeros transportados;2015M11;4.953
Total Nacional;05 Canarias;Viajeros transportados;2015M10;4.885
Total Nacional;05 Canarias;Viajeros transportados;2015M09;4.686
Total Nacional;05 Canarias;Viajeros transportados;2015M08;3.878
Total Nacional;05 Canarias;Viajeros transportados;2015M07;4.489
Total Nacional;05 Canarias;Viajeros transportados;2015M06;4.595
Total Nacional;05 Canarias;Viajeros transportados;2015M05;4.699
Total Nacional;05 Canarias;Viajeros transportados;2015M04;4.601
Total Nacional;05 Canarias;Viajeros transportados;2015M03;4.763
Total Nacional;05 Canarias;Viajeros transportados;2015M02;4.357
Total Nacional;05 Canarias;Viajeros transportados;2015M01;4.463
Total Nacional;05 Canarias;Viajeros transportados;2014M12;4.612
Total Nacional;05 Canarias;Viajeros transportados;2014M11;4.571
Total Nacional;05 Canarias;Viajeros transportados;2014M10;5.051
Total Nacional;05 Canarias;Viajeros transportados;2014M09;4.473
Total Nacional;05 Canarias;Viajeros transportados;2014M08;3.718
Total Nacional;05 Canarias;Viajeros transportados;2014M07;4.354
Total Nacional;05 Canarias;Viajeros transportados;2014M06;4.416
Total Nacional;05 Canarias;Viajeros transportados;2014M05;4.531
Total Nacional;05 Canarias;Viajeros transportados;2014M04;4.455
Total Nacional;05 Canarias;Viajeros transportados;2014M03;4.546
Total Nacional;05 Canarias;Viajeros transportados;2014M02;4.390
Total Nacional;05 Canarias;Viajeros transportados;2014M01;4.574
Total Nacional;05 Canarias;Viajeros transportados;2013M12;4.345
Total Nacional;05 Canarias;Viajeros transportados;2013M11;4.666
Total Nacional;05 Canarias;Viajeros transportados;2013M10;4.959
